delay_minutes,ignored_reminders,completion_time_minutes,risk_label
215,4,432,High
9,8,31,High
179,3,337,High
20,0,491,Low
10,9,83,High
242,10,63,High
111,7,363,High
188,2,315,High
58,2,498,Medium
296,0,480,High
192,6,487,High
38,9,358,High
124,1,361,Medium
61,9,405,High
219,10,194,High
174,0,439,High
250,1,226,High
235,2,227,High
267,10,143,High
275,7,243,High
137,5,441,High
44,4,456,Medium
237,9,317,High
172,0,258,High
93,7,113,High
132,5,148,High
141,8,10,High
97,1,128,Medium
250,8,393,High
243,10,369,High
8,1,155,Low
124,4,344,Medium
242,8,276,High
281,5,185,High
138,4,133,Medium
98,5,66,High
94,3,115,Medium
141,9,394,High
144,1,431,Medium
116,5,96,High
273,2,145,Low
283,4,362,High
251,1,451,Medium
240,7,230,High
26,4,486,Medium
58,1,210,Low
295,10,356,High
76,9,490,High
127,1,290,Medium
115,8,199,High
226,4,445,High
219,4,296,High
50,3,325,Medium
41,2,127,Medium
38,2,6,Medium
240,4,21,High
144,7,41,High
135,10,306,High
101,6,63,High
76,4,428,Medium
30,2,410,Medium
291,4,229,High
155,6,487,High
276,7,229,High
20,6,381,High
128,0,51,Medium
294,9,491,High
137,9,25,High
89,7,270,High
142,2,304,Medium
251,1,245,High
170,5,348,High
82,5,215,High
147,10,488,High
281,0,237,High
129,5,64,High
206,8,427,High
277,7,216,High
265,5,323,High
226,0,109,High
67,4,229,Medium
248,1,19,High
122,2,164,Medium
282,6,52,High
58,7,489,High
78,7,482,High
260,4,217,High
241,3,238,High
196,3,476,High
69,1,146,Medium
212,5,483,High
136,0,149,Medium
300,9,342,High
76,7,280,High
170,8,395,High
233,5,450,High
122,9,201,High
210,0,167,High
195,6,344,High
77,7,498,High
169,1,452,High
51,8,471,High
73,6,450,High
79,1,245,Medium
135,5,324,High
41,5,441,High
273,6,493,High
249,8,23,High
120,10,355,High
116,1,227,Medium
51,7,90,High
14,0,171,Low
150,5,196,High
125,8,215,High
92,2,94,Medium
195,9,354,High
298,2,123,High
130,7,135,High
238,4,351,High
37,7,488,High
300,4,332,High
128,7,437,High
196,7,59,High
292,5,299,High
151,0,429,High
140,0,294,Medium
25,9,386,High
146,3,315,Medium
112,10,102,High
70,10,54,High
20,4,408,Medium
296,5,379,High
151,5,387,High
102,2,407,Medium
187,8,261,High
84,4,472,Medium
246,4,387,High
58,7,498,High
115,10,375,High
203,8,192,High
202,0,140,High
232,5,349,High
134,9,200,High
190,1,350,High
12,9,457,High
167,9,118,High
237,4,337,High
71,0,489,Medium
59,1,125,Low
69,6,237,High
276,6,305,High
79,6,340,High
250,9,213,High
143,0,358,Medium
227,7,491,High
185,1,356,High
183,0,208,High
62,7,51,High
10,0,407,Low
64,9,110,High
283,3,305,High
119,5,401,High
1,4,444,Medium
66,8,133,High
56,10,448,Low
183,3,306,High
89,4,31,Medium
215,8,63,High
243,7,403,High
55,7,262,High
22,10,271,High
15,0,250,Low
218,10,60,High
227,1,465,High
75,1,69,Medium
299,8,369,High
271,4,237,High
220,1,411,High
282,3,225,High
116,6,178,High
204,6,378,High
218,5,345,High
78,10,477,High
46,1,52,Low
190,2,289,High
287,8,173,High
210,5,452,High
216,0,500,High
159,5,58,High
108,2,341,Medium
55,5,437,High
58,4,298,Medium
219,8,397,High
285,0,316,High
136,0,97,Medium
158,5,184,Low
289,10,210,High
15,1,387,Low
192,6,237,High
189,4,374,High
290,9,48,High
79,2,391,Medium
41,4,231,Medium
248,9,231,High
110,8,63,High
56,4,352,Medium
249,8,346,High
112,6,311,High
104,4,489,Medium
70,4,153,Medium
3,7,387,High
66,6,277,High
256,8,431,High
181,1,208,High
21,6,14,High
39,5,299,High
207,10,218,High
207,0,499,High
235,5,50,High
54,3,228,Medium
268,1,207,High
173,3,175,High
39,8,329,High
261,3,468,High
179,10,422,High
52,2,136,Medium
78,10,43,High
252,7,391,High
296,7,353,High
289,10,330,High
165,10,166,High
34,7,231,High
140,9,33,High
37,4,241,Medium
29,5,430,High
46,9,309,High
236,9,288,High
21,7,470,High
96,5,314,High
77,0,235,Medium
175,1,263,High
20,3,367,Medium
224,8,272,High
186,5,474,High
209,5,352,High
171,1,173,High
197,4,134,High
76,5,46,High
72,5,163,High
200,2,309,High
43,4,291,Medium
168,2,348,High
269,1,335,High
260,5,14,High
92,3,179,Medium
248,3,120,High
79,1,156,Medium
51,8,399,High
269,0,343,High
67,9,197,High
92,9,419,High
224,0,215,High
121,7,317,High
229,3,278,High
240,3,193,High
292,7,241,High
195,8,275,High
82,3,415,Medium
128,0,333,Medium
190,8,483,High
264,1,150,High
82,4,235,Medium
75,6,51,High
113,7,457,High
13,6,32,High
191,3,202,High
191,3,19,High
50,10,176,High
70,0,151,Medium
241,2,393,High
229,9,7,High
9,4,115,Medium
280,9,275,High
147,3,159,Medium
122,6,332,High
234,1,61,High
255,9,279,High
294,3,372,High
219,0,319,High
292,6,100,High
43,8,189,High
269,8,264,High
259,8,15,High
240,0,330,High
191,4,387,Low
176,3,380,High
53,9,381,High
68,0,185,Medium
89,10,242,High
245,10,98,High
32,7,23,High
22,3,458,Medium
263,6,422,High
129,0,390,Medium
146,5,446,High
169,4,68,High
223,6,385,High
197,5,100,High
254,5,478,High
136,1,377,Medium
220,9,426,High
150,5,57,High
151,4,233,High
218,2,358,High
228,0,377,High
180,9,227,High
29,1,348,Low
186,8,415,High
81,0,78,Medium
224,0,69,High
187,5,201,High
16,9,83,High
189,5,232,High
293,2,276,High
160,10,147,High
58,0,381,Low
265,6,472,High
134,4,365,Medium
146,7,107,High
37,7,93,High
227,1,419,High
163,10,182,High
281,8,153,High
80,10,94,High
260,3,67,High
71,3,409,Medium
184,8,298,High
282,2,318,High
33,4,208,Medium
245,8,215,High
294,1,69,High
37,7,243,High
176,2,454,High
282,10,305,High
66,6,262,High
28,1,270,Low
84,2,170,Medium
115,5,490,High
145,1,133,Medium
282,4,69,High
273,1,262,High
297,2,92,High
172,9,26,High
14,1,28,Low
295,4,338,High
292,6,321,High
254,10,284,High
154,7,130,High
207,4,237,High
30,2,230,Medium
237,3,179,High
160,5,380,High
176,6,71,High
263,8,59,High
238,1,141,High
72,1,30,Medium
196,9,219,High
81,5,483,High
160,3,395,High
263,7,260,High
254,0,51,High
258,7,499,High
298,5,29,High
253,9,456,High
240,4,279,Low
220,2,456,High
187,6,192,Low
291,8,104,High
147,1,202,Medium
281,4,427,High
60,2,54,Medium
173,8,485,High
73,3,313,Medium
256,0,28,High
170,7,270,High
263,2,172,High
163,2,206,High
153,9,177,High
260,8,255,High
153,7,422,Medium
56,6,303,High
13,9,247,High
296,9,121,High
298,7,92,High
194,2,425,High
16,9,490,High
97,0,230,Medium
77,6,358,High
256,9,476,High
31,2,270,Medium
166,10,249,High
160,2,240,High
175,8,186,High
135,9,252,High
126,4,290,Medium
152,4,365,High
250,5,250,High
140,4,67,Medium
278,6,463,High
176,2,153,High
40,5,478,High
131,7,114,High
275,4,482,High
139,2,60,Medium
300,3,129,High
271,3,331,High
51,6,174,High
51,10,399,High
281,2,213,High
243,7,338,High
147,5,151,High
45,10,298,High
19,2,218,Medium
90,0,433,Medium
253,2,484,High
148,0,9,Medium
54,5,150,High
278,8,257,High
68,8,244,High
57,5,88,High
131,2,12,Medium
151,9,350,High
89,9,443,High
207,6,268,High
205,10,53,High
71,7,170,High
3,4,201,Medium
136,5,159,High
293,0,138,High
120,0,346,Medium
157,2,212,High
159,1,332,High
151,5,319,High
68,7,83,High
191,6,364,High
241,8,415,High
111,3,353,Medium
41,8,233,High
185,1,474,High
31,8,467,High
293,8,81,High
266,7,64,High
298,7,51,High
228,0,237,High
212,7,293,High
236,10,418,High
11,6,135,High
111,9,42,Medium
32,8,35,High
35,7,21,High
92,2,397,Medium
215,5,461,High
193,6,46,High
276,2,339,High
60,2,280,Medium
65,3,432,Low
152,7,349,High
217,8,199,High
126,7,182,High
96,1,21,Medium
214,9,397,High
8,3,110,Medium
17,7,311,High
24,3,384,Medium
119,8,116,High
28,2,262,Medium
119,9,168,High
164,3,159,High
266,3,216,High
31,8,490,High
89,10,352,High
253,0,181,High
195,8,168,High
209,2,158,High
275,7,128,High
153,2,417,High
29,8,216,High
285,8,73,High
130,3,174,Medium
230,5,52,High
97,0,142,Medium
20,1,101,Low
300,10,291,High
106,5,160,High
7,3,484,Medium
60,7,473,High
104,6,473,High
164,4,199,High
183,4,138,High
254,7,55,High
240,5,473,High
160,6,28,High
113,2,13,Medium
299,9,373,High
78,3,173,Medium
291,3,260,High
172,4,395,High
251,7,91,High
180,2,76,High
250,2,474,High
30,8,22,High
38,10,29,High
211,2,436,High
34,2,9,Medium
233,5,35,High
247,10,254,High
282,6,11,High
140,8,151,High
220,2,59,High
268,2,128,High
269,4,422,High
203,1,196,High
235,9,129,High
115,4,355,Medium
41,10,444,High
16,1,212,Low
282,7,33,High
87,1,260,Medium
169,9,444,High
270,0,122,High
290,7,143,Low
143,8,293,High
91,5,13,High
300,2,390,High
203,1,158,High
123,9,432,High
276,5,201,High
71,1,261,Medium
177,0,55,High
38,5,314,High
203,5,20,High
230,7,121,High
192,6,100,High
194,1,400,High
126,1,47,Medium
194,10,83,High
162,5,59,High
157,7,189,High
52,2,49,Medium
229,8,289,High
52,0,50,Low
47,9,311,High
197,0,154,High
43,8,468,High
124,9,271,High
194,2,76,High
137,7,79,High
222,4,220,High
39,5,133,High
253,9,320,High
54,2,160,Medium
170,9,199,High
168,7,176,High
69,4,169,Medium
102,7,165,High
203,5,154,High
251,9,405,High
192,4,423,High
186,1,482,High
279,2,354,High
13,7,487,High
224,4,430,High
209,10,260,High
155,3,134,High
216,6,42,High
245,9,210,High
214,8,23,High
184,8,309,High
43,1,398,Low
181,2,336,High
288,10,351,High
169,6,59,Medium
113,8,387,High
297,9,118,High
200,7,400,High
256,2,181,High
247,1,156,High
43,1,430,Low
72,5,164,High
105,8,252,High
49,7,374,High
163,1,158,High
58,0,439,Low
55,10,414,High
124,8,94,High
169,8,223,High
118,6,327,High
221,6,19,High
101,7,308,High
2,3,110,Medium
32,9,57,High
274,2,192,High
234,1,139,High
250,8,499,High
198,9,205,High
178,5,437,High
88,10,366,High
43,10,73,High
122,4,64,Medium
72,8,203,High
70,9,201,High
249,10,280,High
88,8,90,High
71,2,166,Medium
27,5,492,Low
99,6,498,High
253,6,355,High
227,7,90,High
15,3,154,Low
275,4,91,High
289,7,286,High
293,1,142,High
187,8,426,High
225,8,116,High
52,10,389,High
16,7,139,High
44,7,448,High
121,3,420,Medium
179,9,328,High
71,3,421,Medium
30,9,184,High
275,2,170,High
149,4,298,Medium
263,10,422,High
210,0,146,High
64,2,132,Medium
164,3,394,High
201,7,77,High
137,10,217,High
38,10,411,High
47,6,268,High
188,7,491,High
297,0,449,High
47,7,330,High
183,1,412,High
111,6,427,High
137,5,429,High
280,9,71,High
248,5,462,High
24,0,55,Low
235,0,68,High
80,7,238,Medium
103,2,456,Medium
81,4,52,Medium
128,1,195,Medium
84,0,207,Medium
119,6,340,High
48,0,114,Low
67,9,120,High
227,0,9,High
61,6,360,High
36,3,201,Medium
52,1,165,Low
153,2,200,High
68,10,351,High
271,9,9,High
84,7,184,High
77,6,320,High
111,1,464,Medium
63,9,378,High
219,5,410,High
141,10,48,High
145,0,439,Medium
154,3,270,High
96,6,156,High
122,7,202,High
255,10,309,High
6,5,483,High
198,9,220,High
88,7,493,High
37,0,305,Low
134,3,25,Medium
203,8,151,High
256,6,221,High
42,10,279,High
78,4,47,Medium
261,3,418,High
167,6,305,High
33,4,362,Medium
122,0,130,Medium
222,1,237,High
28,4,346,Medium
89,1,11,Medium
5,2,259,Medium
267,8,405,High
132,2,195,Medium
137,1,399,Medium
171,6,144,High
134,9,326,High
233,8,189,High
290,2,193,High
52,9,350,High
116,8,6,Low
125,0,246,Medium
76,2,481,Medium
18,8,416,High
214,3,169,High
163,4,427,High
190,1,262,High
26,2,119,Medium
23,6,40,High
144,4,172,Medium
233,0,193,High
288,4,383,High
237,5,307,High
100,8,394,High
77,0,482,Medium
119,8,182,High
4,5,5,High
192,4,58,High
121,6,256,High
72,4,52,Low
266,6,363,High
234,1,302,High
68,10,424,High
290,0,227,High
66,3,154,Medium
161,6,363,High
167,5,236,High
38,3,74,Medium
299,1,84,High
230,7,165,High
274,5,498,High
231,4,242,High
61,1,85,Medium
155,9,25,High
167,2,51,High
182,6,267,Medium
133,2,20,Medium
231,8,388,High
48,7,57,High
71,1,11,Medium
113,2,106,Medium
190,10,327,High
43,9,305,High
38,0,38,Low
227,2,52,High
169,1,26,High
25,2,478,Medium
202,7,20,High
218,2,186,High
95,4,148,Medium
76,0,319,Medium
125,10,156,High
281,7,36,High
196,2,219,High
269,3,327,High
278,0,200,High
183,7,283,High
176,9,262,High
138,2,18,Medium
112,0,463,Medium
143,0,419,Medium
271,5,397,High
119,2,56,Medium
123,4,278,Medium
28,3,299,Medium
198,5,483,High
88,2,126,Medium
183,9,19,High
180,9,293,High
96,7,282,High
251,0,51,High
112,0,274,Medium
169,9,108,High
174,2,475,High
165,0,16,High
72,1,438,Medium
186,1,196,High
202,9,56,High
165,2,85,High
223,10,496,High
162,2,367,High
182,3,345,High
89,6,162,High
150,2,95,Medium
293,6,440,High
290,0,98,High
113,10,294,High
254,2,174,High
121,5,168,High
45,10,332,High
171,7,10,High
127,1,184,Medium
55,0,29,Low
214,2,457,High
193,5,284,High
245,9,338,High
115,2,236,Medium
17,4,15,Medium
53,1,180,Low
192,2,379,High
47,5,309,High
247,0,225,High
84,9,460,High
27,1,174,Low
97,6,361,High
276,4,343,High
121,1,30,Medium
281,7,83,High
1,6,49,High
245,3,54,Low
149,1,247,Medium
157,6,246,High
135,1,333,Medium
94,5,458,High
95,7,27,High
238,4,120,High
288,0,82,High
49,1,347,Low
277,6,392,High
283,0,435,High
267,6,499,High
243,9,456,High
153,1,207,High
17,8,297,High
292,10,322,High
229,2,490,High
108,3,69,Low
222,3,426,High
132,5,471,High
34,1,203,Low
282,5,443,High
234,0,407,High
300,8,405,High
212,2,80,High
